Brand_name,Ton,Condenser_Coil,Power_Consumption,Refrigerant,Noise_level,STAR,Ratings,Price
Whirlpool,1.5,Copper,1752 W, R32,42 dB,4.1,176,36000
Panasonic,1.5,Copper,1770 W, R-32,48 dB,4.3,10156,36990
LG,1.5,Copper,1600 W,d: No,31 dB,4.5,0,35999
Hitachi,1.5,Copper,1277.28 kWh, R32,50 dB,3.9,2229,27999
Hitachi,1.5,Copper,1277.65 W, R32,50 dB,3.9,2229,29499
Croma,1.5,Copper,1570 W, R - 32,49 dB,3.8,75,28490
SAMSUNG,1.5,Aluminium,1870 W,d: No,52 dB,4.3,0,40500
Godrej,1.5,Copper,1840 W, R32,60 dB,4.2,0,32990
Panasonic,1,Copper,1095 W, R-32,45 dB,4.3,10156,32999
Lloyd,1.5,Copper,1440 W, R-32,57 dB,4.1,0,34890
Hitachi,2,Copper,2350 W, R410A,37 dB,4.2,2029,49500
CARRIER,1.5,Copper,1550 W, R32,58 dB,4.2,810,32999
LIVPURE,1,Copper,1080 W, R32,45 dB,4.2,2586,38990
SAMSUNG,1.5,Copper,1490 W, R32,45 dB,0,0,38559
